Drug A,Drug B,Cell Line Name,Score
Dasatinib,Tretinoin,HS 578T,3.888888888888889
Sirolimus,Celecoxib,HCT-116,-0.7777777777777778
Mitotane,Sirolimus,SK-MEL-28,-7.0
Everolimus,Docetaxel,OVCAR-3,-4.777777777777778
Cladribine,Celecoxib,U251,-5.111111111111111
Docetaxel,Paclitaxel,SW-620,-1.3333333333333333
Thalidomide,Tretinoin,HT29,-4.666666666666667
Gefitinib,Lenalidomide,MDA-MB-231/ATCC,-1.3333333333333333
Streptozocin,Mitotane,OVCAR-4,-4.222222222222222
Streptozocin,Tretinoin,OVCAR-5,-1.3333333333333333
Fulvestrant,Romidepsin,COLO 205,2.111111111111111
Thalidomide,Paclitaxel,OVCAR-8,-2.4444444444444446
Paclitaxel,Sirolimus,HCT-116,-5.111111111111111
Mitotane,Paclitaxel,BT-549,-5.555555555555555
Megestrol acetate,Lenalidomide,HT29,-11.555555555555555
Fulvestrant,Vorinostat,SW-620,1.0
Everolimus,Celecoxib,RPMI-8226,5.333333333333333
Docetaxel,Tretinoin,SN12C,14.11111111111111
Paclitaxel,Celecoxib,OVCAR-5,15.77777777777778
Docetaxel,Celecoxib,NCI-H460,10.0
Everolimus,Docetaxel,U251,7.111111111111111
Fulvestrant,Celecoxib,RXF 393,-15.555555555555555
Nilotinib,Tretinoin,SW-620,-10.444444444444445
Vorinostat,Tretinoin,HCT-116,-1.3333333333333333
Fulvestrant,Nilotinib,CAKI-1,-8.11111111111111
Docetaxel,Cladribine,SF-539,-6.222222222222222
Thalidomide,Tretinoin,K-562,-14.88888888888889
Vorinostat,Paclitaxel,UACC-257,-4.888888888888889
Fulvestrant,Everolimus,BT-549,23.33333333333333
Dasatinib,Docetaxel,LOX IMVI,-3.333333333333333
Paclitaxel,Cladribine,HS 578T,9.444444444444445
Everolimus,Cladribine,MCF7,-0.8888888888888888
Streptozocin,Docetaxel,ACHN,-5.444444444444445
Mitotane,Sirolimus,DU-145,-5.777777777777778
Fulvestrant,Vorinostat,PC-3,-4.444444444444445
Mitotane,Nilotinib,NCI-H322M,-5.888888888888889
Dasatinib,Vorinostat,SF-268,-0.7777777777777778
Fulvestrant,Celecoxib,SN12C,-6.666666666666667
Everolimus,Paclitaxel,UACC-257,2.7777777777777777
Fulvestrant,Paclitaxel,PC-3,-1.4444444444444444
Dasatinib,Docetaxel,RXF 393,7.666666666666667
Mitotane,Docetaxel,IGROV1,6.777777777777778
Thalidomide,Mitotane,786-0,0.0
Fulvestrant,Sirolimus,UACC-257,-4.0
