Drug A,Drug B,Cell Line Name,Score
Sirolimus,Tretinoin,SK-OV-3,4.555555555555555
Nilotinib,Mitotane,NCI-H226,-1.6666666666666667
Fulvestrant,Vorinostat,NCI-H23,0.2222222222222222
Mitotane,Everolimus,MDA-MB-468,-3.888888888888889
Everolimus,Docetaxel,HS 578T,2.4444444444444446
Romidepsin,Paclitaxel,SK-MEL-5,-4.666666666666667
Mitotane,Docetaxel,MDA-MB-468,7.666666666666667
Everolimus,Sirolimus,HCC-2998,-5.222222222222222
Thalidomide,Sirolimus,OVCAR-5,-0.2222222222222222
Docetaxel,Celecoxib,SW-620,12.22222222222222
Streptozocin,Docetaxel,HOP-62,-5.444444444444445
Docetaxel,Sirolimus,T-47D,11.444444444444445
Docetaxel,Celecoxib,OVCAR-3,19.444444444444443
Romidepsin,Tretinoin,UO-31,-1.8888888888888888
Fulvestrant,Tretinoin,RPMI-8226,-10.88888888888889
Everolimus,Vorinostat,MDA-MB-231/ATCC,-0.7777777777777778
Mitotane,Cladribine,LOX IMVI,-5.444444444444445
Everolimus,Dasatinib,HCT-116,-2.111111111111111
Romidepsin,Tretinoin,RPMI-8226,-5.444444444444445
Dasatinib,Paclitaxel,PC-3,0.6666666666666666
Everolimus,Tretinoin,SNB-75,2.4444444444444446
Streptozocin,Paclitaxel,MDA-MB-231/ATCC,-4.0
Megestrol acetate,Lenalidomide,SF-295,-8.444444444444445
Everolimus,Celecoxib,MDA-MB-468,3.111111111111111
Fulvestrant,Tretinoin,KM12,-2.333333333333333
Thalidomide,Cladribine,MCF7,-7.888888888888889
Sirolimus,Mitotane,T-47D,2.0
Mitotane,Paclitaxel,NCI-H522,-3.333333333333333
Vorinostat,Docetaxel,SF-268,-8.555555555555555
Romidepsin,Tretinoin,A498,0.0
Dasatinib,Vorinostat,HCT-15,2.0
Fulvestrant,Paclitaxel,786-0,-2.0
Romidepsin,Sirolimus,SK-MEL-28,4.222222222222222
Dasatinib,Sirolimus,T-47D,-0.2222222222222222
Mitotane,Paclitaxel,RXF 393,-14.555555555555555
Everolimus,Tretinoin,UO-31,6.111111111111111
Docetaxel,Fulvestrant,OVCAR-3,16.88888888888889
Paclitaxel,Cladribine,MDA-MB-231/ATCC,8.333333333333334
Nilotinib,Mitotane,CCRF-CEM,0.3333333333333333
Cladribine,Celecoxib,K-562,2.4444444444444446
Mitotane,Tretinoin,OVCAR-3,-8.666666666666666
Mitotane,Dasatinib,SK-MEL-28,-1.6666666666666667
Sirolimus,Mitotane,SW-620,7.888888888888889
Everolimus,Celecoxib,MDA-MB-231/ATCC,3.4444444444444446
Everolimus,Tretinoin,HCT-116,-9.22222222222222
Sirolimus,Tretinoin,KM12,-2.7777777777777777
Docetaxel,Fulvestrant,UACC-62,3.333333333333333
Streptozocin,Sirolimus,SF-268,-5.222222222222222
Thalidomide,Docetaxel,SK-MEL-28,0.0
Everolimus,Dasatinib,U251,-9.0
Mitotane,Dasatinib,SF-539,1.6666666666666667
Mitotane,Tretinoin,SK-MEL-28,3.0
Dasatinib,Paclitaxel,TK-10,6.444444444444445
Romidepsin,Sirolimus,OVCAR-4,-0.5555555555555556
Dasatinib,Tretinoin,UACC-257,-1.4444444444444444
Streptozocin,Sirolimus,786-0,-1.7777777777777777
Sirolimus,Nilotinib,MDA-MB-468,1.4444444444444444
Mitotane,Paclitaxel,DU-145,-2.888888888888889
Docetaxel,Sirolimus,HCT-116,1.5555555555555556
Paclitaxel,Nilotinib,MOLT-4,26.77777777777778
Romidepsin,Paclitaxel,MDA-MB-231/ATCC,1.5555555555555556
Everolimus,Nilotinib,A549/ATCC,-2.555555555555556
Tretinoin,Celecoxib,NCI-H522,-0.6666666666666666
Fulvestrant,Everolimus,A498,17.11111111111111
Everolimus,Vorinostat,SNB-75,-3.7777777777777777
Mitotane,Celecoxib,NCI-H460,-6.111111111111111
Paclitaxel,Nilotinib,SN12C,1.3333333333333333
Everolimus,Tretinoin,OVCAR-5,0.5555555555555556
Sirolimus,Nilotinib,DU-145,-4.333333333333333
Romidepsin,Sirolimus,K-562,-3.0
Fulvestrant,Vorinostat,TK-10,-3.7777777777777777
Nilotinib,Mitotane,EKVX,-0.7777777777777778
Romidepsin,Paclitaxel,SF-539,0.4444444444444444
Vorinostat,Sirolimus,LOX IMVI,0.4444444444444444
Dasatinib,Cladribine,DU-145,-4.777777777777778
Mitotane,Dasatinib,MDA-MB-231/ATCC,-0.2222222222222222
Romidepsin,Tretinoin,OVCAR-4,-2.888888888888889
Thalidomide,Docetaxel,HOP-62,-2.888888888888889
Streptozocin,Cladribine,EKVX,-17.333333333333332
Everolimus,Sirolimus,LOX IMVI,-4.888888888888889
Everolimus,Sirolimus,UACC-257,-5.111111111111111
Fulvestrant,Dasatinib,SNB-75,6.222222222222222
Sirolimus,Mitotane,NCI-H522,-9.666666666666666
Mitotane,Sirolimus,NCI-H460,-4.222222222222222
Vorinostat,Paclitaxel,RPMI-8226,-47.22222222222222
Docetaxel,Nilotinib,RXF 393,2.333333333333333
Paclitaxel,Tretinoin,HCT-116,12.666666666666666
